"Video Gaming Licensed Applicants",
"License Name","d/b/a","Address","City","State","Zip","County","License Number","License Type","Status Date",
"BARRY,DUSTIN MICHAEL ","","","","","","","170500734","Terminal Handler","03/23/2017",
"Bartolomucci,Joel Brett ","","","","","","","220500576","Terminal Handler","04/28/2022",
"BASLER,ALEX DONALD ","","","","","","","200502276","Terminal Handler","01/27/2021",
"BASS,AARON MARK ","","","","","","","210500961","Terminal Handler","06/09/2021",
"Bastone,Michael Anthony ","","","","","","","130501551","Terminal Handler","04/18/2013",
"BATEMAN,BENJAMIN LEE ","","","","","","","160503089","Terminal Handler","10/07/2016",
"BATTISTA,THEODORE ALLEN II","","","","","","","170501332","Terminal Handler","08/24/2017",
"BAUSERMAN,THOMAS JASON ","","","","","","","190503449","Terminal Handler","11/07/2019",
"Baxter,Adam Charles ","","","","","","","160500324","Terminal Handler","04/21/2016",
"BAXTER,DONALD LEE ","","","","","","","210501339","Terminal Handler","07/14/2021",
"Beachler,Christopher Ryan ","","","","","","","210500971","Terminal Handler","09/09/2021",
"BEAVER,ALEX KEVIN ","","","","","","","180500101","Terminal Handler","02/09/2018",
"Beaver,Austin Carl ","","","","","","","140502883","Terminal Handler","08/21/2014",
"BEAVER,KEVIN ROY ","","","","","","","120510765","Terminal Handler","02/21/2013",
"Beccue,Rodney Gene ","","","","","","","220502110","Terminal Handler","09/15/2022",
"Beck,Steven John ","","","","","","","160502179","Terminal Handler","08/31/2016",
"Becker,Kerry Robin ","","","","","","","200501736","Terminal Handler","03/10/2021",
"BECKLEY,MARK A ","","","","","","","160501584","Terminal Handler","06/02/2016",
"Beckmann,William Aloysius IV","","","","","","","200501883","Terminal Handler","11/17/2020",
"Bedwell,Arville George III","","","","","","","180500565","Terminal Handler","03/07/2018",
"Behm,Daniel Lee ","","","","","","","120504182","Terminal Handler","07/19/2012",
"BELAIR,MARIE L ","","","","","","","130503480","Terminal Handler","07/18/2013",
"BENNETT,AUSTIN JACOB ","","","","","","","210503827","Terminal Handler","03/10/2022",
"BENNETT,JAMES GLENN ","","","","","","","120505166","Terminal Handler","07/19/2012",
"Bentivenga,Luigi Alberto ","","","","","","","150501152","Terminal Handler","03/26/2015",
"Bergeron,Maha Ahlam ","","","","","","","200502520","Terminal Handler","03/10/2021",
"BERGMAN,SCOTT RONALD ","","","","","","","220502958","Terminal Handler","10/27/2022",
"Bernardi,John Martin ","","","","","","","130505677","Terminal Handler","11/21/2013",
"Bernstein,Steven Denton II","","","","","","","220501925","Terminal Handler","09/15/2022",
"BERRIOS IRIZARRY,RICHARD  ","","","","","","","180503202","Terminal Handler","11/02/2018",
"Berry,Dean W ","","","","","","","120504191","Terminal Handler","07/19/2012",
"Betcher,Orley Orvel III","","","","","","","130501375","Terminal Handler","03/20/2013",
"Beverly,Carlos Andre Jr","","","","","","","210500040","Terminal Handler","01/27/2021",
"BHAMBRA,GAGANDEEP SINGH ","","","","","","","190501118","Terminal Handler","06/13/2019",
"BHAMBRA,MENJINDER  ","","","","","","","210501491","Terminal Handler","09/09/2021",
"BIANCHI,NICHOLAS ANTHONY ","","","","","","","210500876","Terminal Handler","06/09/2021",
"Biegler,Christopher Robert Sr","","","","","","","120505336","Terminal Handler","12/20/2012",
"Biel,Traci A ","","","","","","","150503613","Terminal Handler","11/06/2015",
"Biggers,Lucas A ","","","","","","","170502836","Terminal Handler","09/21/2017",
"BIGGS,LEE ANN ","","","","","","","160503086","Terminal Handler","10/07/2016",
"BIGHAM,GREGORY ANTONE Jr","","","","","","","210503443","Terminal Handler","01/27/2022",
"Billmeyer,Erick John ","","","","","","","160500819","Terminal Handler","04/21/2016",
"Billmeyer,Richard John ","","","","","","","140502942","Terminal Handler","09/23/2014",
"Binstein,Michael  ","","","","","","","120511940","Terminal Handler","12/20/2012",
"Biondolino,Christopher Paul ","","","","","","","140502451","Terminal Handler","07/24/2014",
"Birckelbaw,Kurt  ","","","","","","","120503909","Terminal Handler","02/21/2013",
"Bird,Ashton Scott ","","","","","","","180503260","Terminal Handler","09/14/2018",
"Birkeland,Scott James ","","","","","","","190500157","Terminal Handler","01/30/2019",
"Birnbaum,Matthew Raymond ","","","","","","","150503289","Terminal Handler","09/22/2015",
"Bivens,Erin Elizabeth ","","","","","","","210502033","Terminal Handler","09/09/2021",
"BIZIOS,PETER ALEXANDER ","","","","","","","170504344","Terminal Handler","02/09/2018",
"BIZZOTTO,NINO RICHARD ","","","","","","","170504067","Terminal Handler","01/09/2018",
"BLACK,JOHNNY CHARLES ","","","","","","","210502981","Terminal Handler","01/27/2022",
"Blackburn,Michael Alan ","","","","","","","150502295","Terminal Handler","08/25/2015",
"BLACKBURN,MITCHELL ALEXANDER ","","","","","","","200500859","Terminal Handler","06/11/2020",
"BLAKE,TRISTEN JAMES ","","","","","","","210503074","Terminal Handler","01/27/2022",
"BLANCH,BUDDY LEE ","","","","","","","210503347","Terminal Handler","01/27/2022",
"BLANCH,MICHAEL ALLAN ","","","","","","","190503445","Terminal Handler","11/07/2019",
"Blount,Isaac Lee ","","","","","","","220501153","Terminal Handler","06/16/2022",
"Bohler,Jeremy Carl ","","","","","","","150500537","Terminal Handler","03/26/2015",
"BOLDIN,DANIEL ROBERT ","","","","","","","220500560","Terminal Handler","03/10/2022",
"BOLES,CHRISTINA LYNN ","","","","","","","230500012","Terminal Handler","02/09/2023",
"Bolger,Ronald Owen ","","","","","","","120506172","Terminal Handler","12/20/2012",
"BOLGER,TIMOTHY JOSEPH ","","","","","","","180500608","Terminal Handler","03/07/2018",
"Borries,Andrew Clarence ","","","","","","","180502692","Terminal Handler","08/02/2018",
"Bort,Christopher Cornell ","","","","","","","200502343","Terminal Handler","09/09/2021",
"BORTH,CHRISTIAN ROBERT ","","","","","","","220502506","Terminal Handler","12/08/2022",
"BORTH,JOCELYN STACY ","","","","","","","230500196","Terminal Handler","02/09/2023",
"BOSWELL,ZACHARY ALAN ","","","","","","","190501984","Terminal Handler","08/08/2019",
"BOTTA,DOMINIC UMBERTO ","","","","","","","210501586","Terminal Handler","10/20/2021",
"BOUNDS,JEREMY LEE ","","","","","","","210502105","Terminal Handler","01/27/2022",
"Boutin,Mary Kathleen ","","","","","","","220501350","Terminal Handler","06/16/2022",
"Boutros,Paul  ","","","","","","","160500711","Terminal Handler","04/21/2016",
"Bowden,Kent Dwight ","","","","","","","120507410","Terminal Handler","09/20/2012",
"Bowler,Kevin Thomas ","","","","","","","140504366","Terminal Handler","03/26/2015",
"Bowler,Thomas Edward ","","","","","","","170502933","Terminal Handler","09/21/2017",
"BOWMAN,AMANDA LYNN ","","","","","","","210502520","Terminal Handler","10/20/2021",
"Bowman,David Mariono ","","","","","","","160500197","Terminal Handler","03/04/2016",
"Box,Teresa Ann ","","","","","","","130506539","Terminal Handler","01/15/2014",
"Boyd,Nathan Alan ","","","","","","","150503119","Terminal Handler","09/22/2015",
"BOYD,THOMAS O Jr","","","","","","","140502444","Terminal Handler","07/24/2014",
"Boyette,Donovan Aylan ","","","","","","","220500716","Terminal Handler","12/08/2022",
"BOYLE,ANGELA  ","","","","","","","180502667","Terminal Handler","12/12/2018",
"BOZOVIC,MILOS  ","","","","","","","190500016","Terminal Handler","01/30/2019",
"Braden,Robert STANFORD ","","","","","","","130504021","Terminal Handler","08/22/2013",
"Brake,Michael Charles ","","","","","","","120508300","Terminal Handler","10/18/2012",
"Brandli,Collin John ","","","","","","","150503440","Terminal Handler","11/06/2015",
"BRANDONISIO,PAT  ","","","","","","","170500542","Terminal Handler","04/21/2017",
"BRANT,STEVEN MERLIN ","","","","","","","160503077","Terminal Handler","10/07/2016",
"BRAVO,MARGARITO M ","","","","","","","120512345","Terminal Handler","12/20/2012",
"BREER,THOMAS WALTER ","","","","","","","120512857","Terminal Handler","01/24/2013",
"Brennan,William Joseph Jr","","","","","","","160500512","Terminal Handler","12/14/2016",
"BRENT,JASON RICHARD ","","","","","","","190502825","Terminal Handler","09/16/2019",
"Breyer,Casey Edward ","","","","","","","210502306","Terminal Handler","06/16/2022",
"Brincks,Jason James ","","","","","","","210501490","Terminal Handler","09/09/2021",
"Brockett,Tyler Dane ","","","","","","","210500969","Terminal Handler","06/09/2021",
"Brogan,Richard  Allen ","","","","","","","140502877","Terminal Handler","09/23/2014",
"Bromenschenkel,Francis William IV","","","","","","","180504071","Terminal Handler","01/30/2019",
"BROOKS,VICTORIA JEAN ","","","","","","","180503201","Terminal Handler","11/02/2018",
"BROOKSHIER,MICHAEL  LEE ","","","","","","","150500650","Terminal Handler","03/26/2015",
"BROOME,MICHAEL ALLAN ","","","","","","","190500438","Terminal Handler","04/18/2019",
"BROUKAL,MATTHEW CHRISTOPHER ","","","","","","","190501131","Terminal Handler","06/13/2019",
"Brown,Bonnie  ","","","","","","","150503815","Terminal Handler","11/06/2015",
"BROWN,CRAIG WILLIAM ","","","","","","","180503539","Terminal Handler","11/02/2018",
"BROWN,MARK OWEN ","","","","","","","160501464","Terminal Handler","06/02/2016",
"Brown,Matthew Phillip ","","","","","","","160502345","Terminal Handler","08/31/2016",
"Brown,Mickey Patrick ","","","","","","","150503814","Terminal Handler","11/06/2015",
"BROWN,MITCHELL JOHN ","","","","","","","220502705","Terminal Handler","12/08/2022",
"BROWN,RYAN ADAM ","","","","","","","120508324","Terminal Handler","01/24/2013",
"BROWN,STEVEN RAY ","","","","","","","220502476","Terminal Handler","12/08/2022",
"Brown,Thomas Eugene Jr","","","","","","","210502287","Terminal Handler","10/20/2021",
"Brownfield,Joshua Michael ","","","","","","","120506370","Terminal Handler","08/16/2012",
"BROWNING,DAWN MARIE ","","","","","","","180502296","Terminal Handler","08/02/2018",
"BROXSON,ERIC CHARLES ","","","","","","","120508480","Terminal Handler","09/20/2012",
"BRUE,MICHAEL TRAVIS ","","","","","","","160502959","Terminal Handler","11/03/2016",
"Brumleve,Derek Phillip ","","","","","","","170501813","Terminal Handler","06/28/2017",
"BRUMLEVE,THEODORE FRANCIS ","","","","","","","160501586","Terminal Handler","06/02/2016",
"Brumm,Roger Joseph ","","","","","","","130500630","Terminal Handler","05/23/2013",
"Brundrett,Gregory M ","","","","","","","130500352","Terminal Handler","02/21/2013",
"Bryant,Troy Allen ","","","","","","","220503529","Terminal Handler","02/09/2023",
"Buchanan,Lawrence William ","","","","","","","140500872","Terminal Handler","04/30/2014",
"BUCKLEY,ROBERT ALAN ","","","","","","","170500846","Terminal Handler","03/23/2017",
"BUGGER,JAMES OSWIN ","","","","","","","190502625","Terminal Handler","09/16/2019",
"BUIE,GREGORY WAYNE ","","","","","","","210501221","Terminal Handler","07/14/2021",
"Bullock,Jason Matthew ","","","","","","","220503377","Terminal Handler","02/09/2023",
"BUNDY,MARTIN ROBERT ","","","","","","","180502670","Terminal Handler","09/14/2018",
"BURBACH,KENNETH MICHAEL ","","","","","","","160503968","Terminal Handler","12/14/2016",
"BURGARD,MELISSA KRISTINE ","","","","","","","180501804","Terminal Handler","06/13/2018",
"BURGE,WILLIAM LEROY Jr","","","","","","","160501457","Terminal Handler","06/02/2016",
"BURNETT,JESSE ANDREW ","","","","","","","210502682","Terminal Handler","10/20/2021",
"Busch,Ryan William ","","","","","","","210500235","Terminal Handler","09/09/2021",
"BUSH,KARSEN JAY ","","","","","","","210503445","Terminal Handler","01/27/2022",
"BUSHMAN,DOUGLAS SCOTT ","","","","","","","170504277","Terminal Handler","02/09/2018",
"BUSHUR,NICHOLAS PAUL ","","","","","","","120511935","Terminal Handler","12/20/2012",
"BUSICH,JOSEPH PETER ","","","","","","","180503371","Terminal Handler","11/02/2018",
"BUSICK,TRACY LYNN ","","","","","","","170503330","Terminal Handler","11/16/2017",
"BUSTOS,ALEXANDER STEVEN ","","","","","","","200502420","Terminal Handler","06/09/2021",
"Butler,John Joseph ","","","","","","","190502113","Terminal Handler","08/08/2019",
"Caldwell,Robert Lee ","","","","","","","220503877","Terminal Handler","02/09/2023",
"Caleca,Stephanie Laura ","","","","","","","160501891","Terminal Handler","07/20/2016",
"CALOVIC,VLADIMIR  ","","","","","","","180500105","Terminal Handler","02/09/2018",
"Camacho,Dean Allen ","","","","","","","220502093","Terminal Handler","10/27/2022",
"Camacho,Jose Juan ","","","","","","","130504270","Terminal Handler","09/19/2013",
"CAMACHO,JUAN CARLOS ","","","","","","","180501005","Terminal Handler","04/12/2018",
"Camarato,Aaron Michael ","","","","","","","130503302","Terminal Handler","06/20/2013",
"CAMBA,STEVEN DANIEL ","","","","","","","210500232","Terminal Handler","09/09/2021",
"Camden,David Wayne ","","","","","","","120504488","Terminal Handler","09/20/2012",
"CAMPBELL,JODIE GLENN ","","","","","","","210503231","Terminal Handler","01/27/2022",
"Campbell,Jonathan Ray ","","","","","","","220501154","Terminal Handler","06/16/2022",
"CAMPION,JASON ALAN ","","","","","","","200502752","Terminal Handler","12/17/2020",
"Campion,Joshua Ryan ","","","","","","","120511738","Terminal Handler","12/20/2012",
"Campion,Kira  Nicolle ","","","","","","","130504988","Terminal Handler","10/24/2013",
"CAMPOS,JUAN CARLOS ","","","","","","","190503751","Terminal Handler","12/19/2019",
